providerName,flowName
"soybean production, Swiss integrated production, intensive","soybean, Swiss integrated production"
"market for soybean, Swiss integrated production","soybean, Swiss integrated production"
"transport, freight, lorry, all sizes, EURO 4 to generic market for transport, freight, lorry, unspecified","transport, freight, lorry, diesel, unspecified"
"transport, freight, lorry, all sizes, EURO 3 to generic market for transport, freight, lorry, unspecified","transport, freight, lorry, diesel, unspecified"
"transport, freight, lorry, all sizes, EURO 2 to generic market for transport, freight, lorry, unspecified","transport, freight, lorry, diesel, unspecified"
"transport, freight, lorry, all sizes, unregulated to generic market for transport, freight, lorry, unspecified","transport, freight, lorry, diesel, unspecified"
"transport, freight, lorry, all sizes, EURO 1 to generic market for transport, freight, lorry, unspecified","transport, freight, lorry, diesel, unspecified"
"transport, freight, lorry, all sizes, EURO 5 to generic market for transport, freight, lorry, unspecified","transport, freight, lorry, diesel, unspecified"
"transport, freight, lorry, all sizes, EURO 6 to generic market for transport, freight, lorry, unspecified","transport, freight, lorry, diesel, unspecified"
"market for transport, freight, lorry, unspecified","transport, freight, lorry, diesel, unspecified"
"market group for transport, freight, lorry, diesel, unspecified","transport, freight, lorry, diesel, unspecified"
"transport, freight, train, diesel","transport, freight, train, fleet average"
"market for transport, freight, train, fleet average","transport, freight, train, fleet average"
"transport, freight, train, electric","transport, freight, train, fleet average"
"transport, freight, train, fleet average","transport, freight, train, fleet average"
"transport, freight, train, diesel, with particle filter","transport, freight, train, fleet average"
"transport, freight, train, steam","transport, freight, train, fleet average"
"market group for transport, freight, train, fleet average","transport, freight, train, fleet average"
"resin transfer moulding, light","resin transfer moulding, light"
"market for resin transfer moulding, light","resin transfer moulding, light"
"acetic acid production, from n-butane oxidation","acetone, liquid"
"phenol production, cumene oxidation","acetone, liquid"
"acetone production, from isopropanol","acetone, liquid"
"resorcinol production, hydroperoxidation of meta-diisopropylbenzene","acetone, liquid"
"synthetic fuel production, from coal, high temperature Fischer-Tropsch operations","acetone, liquid"
"market for acetone, liquid","acetone, liquid"
"activated carbon production, granular from hard coal","activated carbon, granular"
"treatment of spent activated carbon, granular from hard coal, reactivation","activated carbon, granular"
"market for activated carbon, granular","activated carbon, granular"
"market for electricity, low voltage","electricity, low voltage"
"electricity, low voltage, residual mix","electricity, low voltage"
"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted","electricity, low voltage"
"heat and power co-generation, natural gas, 160kW electrical, lambda=1","electricity, low voltage"
"electricity production, photovoltaic, 3kWp slanted-roof installation, ribbon-Si, panel, mounted","electricity, low voltage"
"natural gas, burned in micro gas turbine, 100kWe","electricity, low voltage"
"electricity production, photovoltaic, 3kWp facade installation, multi-Si, panel, mounted","electricity, low voltage"
"electricity production, photovoltaic, 3kWp flat-roof installation, single-Si","electricity, low voltage"
"electricity voltage transformation, residual mix, from medium to low voltage","electricity, low voltage"
"market group for electricity, low voltage","electricity, low voltage"
"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted","electricity, low voltage"
electricity voltage transformation from medium to low voltage,"electricity, low voltage"
"biomethane, low pressure burned in polymer electrolyte membrane fuel cell 2kWe, future","electricity, low voltage"
"natural gas, burned in polymer electrolyte membrane fuel cell 2kWe, future","electricity, low voltage"
"natural gas, burned in solid oxide fuel cell 125kWe, future","electricity, low voltage"
"electricity production, photovoltaic, 3kWp slanted-roof installation, a-Si, panel, mounted","electricity, low voltage"
"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, laminated, integrated","electricity, low voltage"
"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, laminated, integrated","electricity, low voltage"
"electricity production, photovoltaic, 570kWp open ground installation, multi-Si","electricity, low voltage"
"heat and power co-generation, natural gas, 50kW electrical, lean burn","electricity, low voltage"
"electricity production, photovoltaic, 3kWp slanted-roof installation, ribbon-Si, laminated, integrated","electricity, low voltage"
"electricity production, photovoltaic, 3kWp flat-roof installation, multi-Si","electricity, low voltage"
"biomethane, low pressure burned in micro gas turbine 100kWe","electricity, low voltage"
"electricity production, photovoltaic, 3kWp facade installation, single-Si, laminated, integrated","electricity, low voltage"
"electricity production, photovoltaic, 3kWp slanted-roof installation, CIS, panel, mounted","electricity, low voltage"
"electricity production, photovoltaic, 3kWp slanted-roof installation, a-Si, laminated, integrated","electricity, low voltage"
"heat and power co-generation, natural gas, mini-plant 2KW electrical","electricity, low voltage"
"electricity production, photovoltaic, 3kWp slanted-roof installation, CdTe, laminated, integrated","electricity, low voltage"
"electricity production, photovoltaic, 3kWp facade installation, multi-Si, laminated, integrated","electricity, low voltage"
"heat and power co-generation, natural gas, 160kW electrical, Jakobsberg","electricity, low voltage"
"biomethane, low pressure burned in solid oxide fuel cell 125kWe, future","electricity, low voltage"
"sawing and planing, paraná pine, kiln dried","electricity, low voltage"
"electricity, low voltage, photovoltaic, import from DE","electricity, low voltage"
"electricity production, wind, 6kW small-scale turbine, onshore","electricity, low voltage"
"biomethane, low pressure burned in solid oxide fuel cell, with micro gas turbine, 180kWe, future","electricity, low voltage"
"electricity production, photovoltaic, 3kWp facade installation, single-Si, panel, mounted","electricity, low voltage"
"wood pellets, burned in stirling heat and power co-generation unit, 3kW electrical, future","electricity, low voltage"
"electricity, low voltage, European attribute mix","electricity, low voltage"
"natural gas, burned in solid oxide fuel cell, with micro gas turbine, 180kWe, future","electricity, low voltage"
glass fibre production,glass fibre
market for glass fibre,glass fibre
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","heat, district or industrial, natural gas"
"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical","heat, district or industrial, natural gas"
"heat and power co-generation, natural gas, 1MW electrical, lean burn","heat, district or industrial, natural gas"
"heat and power co-generation, natural gas, 200kW electrical, lean burn","heat, district or industrial, natural gas"
"heat and power co-generation, natural gas, 500kW electrical, lean burn","heat, district or industrial, natural gas"
"heat production, natural gas, at boiler modulating >100kW","heat, district or industrial, natural gas"
"heat production, natural gas, at boiler condensing modulating >100kW","heat, district or industrial, natural gas"
"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas"
"market group for heat, district or industrial, natural gas","heat, district or industrial, natural gas"
"heat production, natural gas, at industrial furnace >100kW","heat, district or industrial, natural gas"
"heat production, natural gas, at industrial furnace low-NOx >100kW","heat, district or industrial, natural gas"
"market for iron scrap, unsorted","iron scrap, unsorted"
"iron scrap, unsorted, Recycled Content cut-off","iron scrap, unsorted"
latex production,latex
market for latex,latex
packaging box factory construction,packaging box factory
market for packaging box factory,packaging box factory
"petroleum slack wax production, petroleum refinery operation",petroleum slack wax
market for petroleum slack wax,petroleum slack wax
"polyester resin production, unsaturated","polyester resin, unsaturated"
soy-based resin production,"polyester resin, unsaturated"
"market for polyester resin, unsaturated","polyester resin, unsaturated"
"polyethylene terephthalate, labels to generic market for PET, granulate, amorphous","polyethylene terephthalate, granulate, amorphous"
"polyethylene terephthalate, backflushed from screenchangers to generic market for PET, granulate, amorphous","polyethylene terephthalate, granulate, amorphous"
"polyethylene terephthalate, granulate, amorphous, recycled to generic market for PET, granulate, amorphous","polyethylene terephthalate, granulate, amorphous"
"polyethylene terephthalate, pellets, recycled to generic market for PET, granulate, amorphous","polyethylene terephthalate, granulate, amorphous"
"polyethylene terephthalate, fines to generic market for PET, granulate, amorphous","polyethylene terephthalate, granulate, amorphous"
"polyethylene terephthalate, pellets, coloured, recycled to generic market for PET, granulate, amorphous","polyethylene terephthalate, granulate, amorphous"
"polyethylene terephthalate, pellets, recycled fibre based to generic market for PET, granulate, amorphous","polyethylene terephthalate, granulate, amorphous"
"polyethylene terephthalate production, granulate, amorphous","polyethylene terephthalate, granulate, amorphous"
"market for polyethylene terephthalate, granulate, amorphous","polyethylene terephthalate, granulate, amorphous"
"polyethylene, high density, granulate, recycled to generic market for polyethylene, high density, granulate","polyethylene, high density, granulate"
"polyethylene production, high density, granulate","polyethylene, high density, granulate"
"polyethylene, pellets, recycled to generic markets for LDPE and HDPE","polyethylene, high density, granulate"
"polyethylene/polypropylene, pellets, recycled to generic markets for PP and HDPE","polyethylene, high density, granulate"
"polyethylene, high density, pellets, recycled to generic market for polyethylene, high density, granulate","polyethylene, high density, granulate"
"market for polyethylene, high density, granulate","polyethylene, high density, granulate"
"polyethylene/polypropylene, pellets, recycled to generic markets for PP and HDPE","polypropylene, granulate"
"polypropylene, pellets, recycled to generic market for polypropylene, granulate","polypropylene, granulate"
"polypropylene production, granulate","polypropylene, granulate"
"market for polypropylene, granulate","polypropylene, granulate"
silicone product production,silicone product
market for silicone product,silicone product
"steel production, converter, low-alloyed","steel, low-alloyed"
"steel production, electric, low-alloyed","steel, low-alloyed"
"market for steel, low-alloyed","steel, low-alloyed"
synthetic rubber production,synthetic rubber
market for synthetic rubber,synthetic rubber
"textile production, nonwoven polypropylene, spunbond","textile, nonwoven polypropylene"
"market for textile, nonwoven polypropylene","textile, nonwoven polypropylene"
"market for waste plastic, mixture","waste plastic, mixture"
clinker production,"waste plastic, mixture"
"clinker production, average","waste plastic, mixture"
"treatment of waste plastic, mixture, sanitary landfill","waste plastic, mixture"
"treatment of waste plastic, mixture, unsanitary landfill, very wet infiltration class (1000mm)","waste plastic, mixture"
"treatment of waste plastic, mixture, open dump, very wet infiltration class (1000mm)","waste plastic, mixture"
"treatment of waste plastic, mixture, municipal incineration","waste plastic, mixture"
"treatment of waste plastic, mixture, open dump, hyperarid infiltration class (-250mm)","waste plastic, mixture"
"treatment of waste plastic, mixture, municipal incineration FAE","waste plastic, mixture"
"treatment of waste plastic, mixture, unsanitary landfill, hyperarid infiltration class (-250mm)","waste plastic, mixture"
"treatment of waste plastic, mixture, unsanitary landfill, moist infiltration class (300mm)","waste plastic, mixture"
"treatment of waste plastic, mixture, open dump, moist infiltration class (300mm)","waste plastic, mixture"
"treatment of waste plastic, mixture, unsanitary landfill, wet infiltration class (500mm)","waste plastic, mixture"
"treatment of waste plastic, mixture, unsanitary landfill, dry infiltration class (100mm)","waste plastic, mixture"
"treatment of waste plastic, mixture, open dump, dry infiltration class (100mm)","waste plastic, mixture"
"treatment of waste plastic, mixture, open burning","waste plastic, mixture"
"market group for waste plastic, mixture","waste plastic, mixture"
"treatment of waste plastic, mixture, open dump, wet infiltration class (500mm)","waste plastic, mixture"
clinker production,"wastewater, average"
"treatment of wastewater, average, wastewater treatment","wastewater, average"
"market for wastewater, average","wastewater, average"
clinker production,waste foundry sand
market for waste foundry sand,waste foundry sand
"clinker production, average",waste foundry sand
"treatment of wastewater from glass production, wastewater treatment",wastewater from glass production
market for wastewater from glass production,wastewater from glass production
"treatment of aluminium scrap, post-consumer, by collecting, sorting, cleaning, pressing","aluminium scrap, post-consumer, prepared for melting"
"treatment of metal scrap, mixed, for recycling, unsorted, sorting","aluminium scrap, post-consumer, prepared for melting"
"treatment of used beverage cans, for recycling, unsorted, sorting","aluminium scrap, post-consumer, prepared for melting"
"market for aluminium scrap, post-consumer, prepared for melting","aluminium scrap, post-consumer, prepared for melting"
"aluminium scrap, post-consumer, prepared for melting, Recycled Content cut-off","aluminium scrap, post-consumer, prepared for melting"
"treatment of aluminium scrap, new, at refiner","aluminium, cast alloy"
"treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner","aluminium, cast alloy"
"aluminium ingot, primary, to aluminium, cast alloy market","aluminium, cast alloy"
"market for aluminium, cast alloy","aluminium, cast alloy"
"chemical production, inorganic","chemical, inorganic"
"market for chemical, inorganic","chemical, inorganic"
"market for chemical, organic","chemical, organic"
"fraction 1 from naphtha separation to generic market for chemical, organic","chemical, organic"
"synthetic fuel production, from coal, high temperature Fischer-Tropsch operations","chemical, organic"
"chemical production, organic","chemical, organic"
"fraction 7 from naphtha separation to generic market for chemical, organic","chemical, organic"
"fraction 8 from naphtha separation to generic market for chemical, organic","chemical, organic"
"concrete production, 25MPa, for building construction, for interior use, with cement, Portland","concrete, 25MPa"
"concrete production, 25MPa, for building construction, with cement, CP-II-F","concrete, 25MPa"
"concrete production, 25MPa, for building construction, with cement, CP III","concrete, 25MPa"
"concrete production, 25MPa, for building construction, with cement, CP-II-E","concrete, 25MPa"
"concrete production, 25MPa, for building construction, exposure class XC1, with cement, unspecified","concrete, 25MPa"
"concrete production, 25MPa, for building construction, exposure class XC2, with cement, unspecified","concrete, 25MPa"
"concrete production, 25MPa, for building construction, for interior use, with cement ZN/D","concrete, 25MPa"
"concrete production, 25MPa, for building construction, for interior use, with cement ZN/D, with <30% RC-M aggregates","concrete, 25MPa"
"concrete production, 25MPa, for building construction, with cement, CEM II/B-V","concrete, 25MPa"
"concrete production, 25MPa, for building construction, with cement, CEM II/B","concrete, 25MPa"
"concrete production, 25MPa, for building construction, with cement, CEM III/A","concrete, 25MPa"
"concrete production, 25MPa, for building construction, for interior use, with cement ZN/D, with 50% RC-C aggregates","concrete, 25MPa"
"concrete production, 25MPa, for building construction, with cement, CEM II/A","concrete, 25MPa"
"market for concrete, 25MPa","concrete, 25MPa"
"market for copper scrap, sorted, pressed","copper scrap, sorted, pressed"
"copper scrap, sorted, pressed, Recycled Content cut-off","copper scrap, sorted, pressed"
cobalt production,"copper, cathode"
gold mine operation and refining,"copper, cathode"
treatment of copper scrap by electrolytic refining,"copper, cathode"
primary zinc production from concentrate,"copper, cathode"
"electrorefining of copper, anode","copper, cathode"
"aluminium alloy production, AlLi","copper, cathode"
"treatment of non-Fe-Co-metals, from used Li-ion battery, pyrometallurgical processing","copper, cathode"
"platinum group metal, extraction and refinery operations","copper, cathode"
"aluminium alloy production, Metallic Matrix Composite","copper, cathode"
"platinum group metal mine operation, ore with high palladium content","copper, cathode"
treatment of used cable,"copper, cathode"
"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining","copper, cathode"
"treatment of non-Fe-Co-metals, from used Li-ion battery, hydrometallurgical processing","copper, cathode"
"copper production, cathode, solvent extraction and electrowinning process","copper, cathode"
treatment of copper cake,"copper, cathode"
"market for copper, cathode","copper, cathode"
"market for electricity, medium voltage","electricity, medium voltage"
"treatment of sludge from pulp and paper production, sanitary landfill","electricity, medium voltage"
electricity voltage transformation from high to medium voltage,"electricity, medium voltage"
"electricity, from municipal waste incineration to generic market for electricity, medium voltage","electricity, medium voltage"
"market for electricity, medium voltage - ALT WITH FIX VALUE","electricity, medium voltage"
